candidate_id,gender,ethnicity,age,degree,field_of_study,university,gpa,years_experience,num_skills,skills,job_title_applied,prev_companies,resume_text,shortlisted
CAND-0020,Female,White,22,Bachelor,Business Administration,Other Institution,2.07,11,12,C++|Data Analysis|Docker|Git|Java|Excel|Tableau|Deep Learning|Statistics|Project Management|R|Machine Learning,Business Analyst,0,"Experienced professional with 11 years of experience. Holds a Bachelor in Business Administration. Key skills include: C++, Data Analysis, Docker, Git, Java, Excel, Tableau, Deep Learning, Statistics, Project Management, R, Machine Learning. Proven track record of delivering results in dynamic environments.",1
CAND-0021,Male,Asian,48,None,Business Administration,Birmingham University,3.73,5,9,Python|Communication|R|Docker|Leadership|TensorFlow|Git|Machine Learning|AWS,Data Scientist,3,"Experienced professional with 5 years of experience. Holds a None in Business Administration. Key skills include: Python, Communication, R, Docker, Leadership, TensorFlow, Git, Machine Learning, AWS. Proven track record of delivering results in dynamic environments.",1
CAND-0022,Male,Black,51,Bachelor,Engineering,Birmingham University,2.05,6,9,R|TensorFlow|SQL|Git|Tableau|JavaScript|AWS|C++|Kubernetes,Data Scientist,0,"Experienced professional with 6 years of experience. Holds a Bachelor in Engineering. Key skills include: R, TensorFlow, SQL, Git, Tableau, JavaScript, AWS, C++, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0023,Female,White,38,Bachelor,Economics,Bristol University,3.46,10,9,NLP|JavaScript|Machine Learning|AWS|Statistics|Project Management|TensorFlow|Java|Docker,Data Scientist,4,"Experienced professional with 10 years of experience. Holds a Bachelor in Economics. Key skills include: NLP, JavaScript, Machine Learning, AWS, Statistics, Project Management, TensorFlow, Java, Docker. Proven track record of delivering results in dynamic environments.",1
CAND-0024,Female,White,34,Bachelor,Data Science,Bristol University,3.25,3,7,JavaScript|Excel|Problem Solving|Docker|R|AWS|Git,Product Manager,1,"Experienced professional with 3 years of experience. Holds a Bachelor in Data Science. Key skills include: JavaScript, Excel, Problem Solving, Docker, R, AWS, Git. Proven track record of delivering results in dynamic environments.",0
CAND-0025,Male,Asian,46,Master,Business Administration,Sheffield University,2.81,0,7,Excel|Project Management|Docker|Statistics|NLP|R|Agile,Data Analyst,3,"Experienced professional with 0 years of experience. Holds a Master in Business Administration. Key skills include: Excel, Project Management, Docker, Statistics, NLP, R, Agile. Proven track record of delivering results in dynamic environments.",0
CAND-0026,Female,White,32,Master,Mathematics,Other Institution,3.33,10,4,Kubernetes|Leadership|Problem Solving|Excel,Software Engineer,1,"Experienced professional with 10 years of experience. Holds a Master in Mathematics. Key skills include: Kubernetes, Leadership, Problem Solving, Excel. Proven track record of delivering results in dynamic environments.",1
CAND-0027,Male,White,52,Master,Data Science,Nottingham University,2.83,6,9,React|AWS|Leadership|Data Analysis|Deep Learning|Python|Machine Learning|Docker|Team Collaboration,Software Engineer,5,"Experienced professional with 6 years of experience. Holds a Master in Data Science. Key skills include: React, AWS, Leadership, Data Analysis, Deep Learning, Python, Machine Learning, Docker, Team Collaboration. Proven track record of delivering results in dynamic environments.",1
CAND-0028,Female,White,37,Diploma,Data Science,Nottingham University,2.27,14,11,C++|NLP|R|Agile|Git|JavaScript|Docker|Kubernetes|Problem Solving|Communication|Tableau,Data Analyst,3,"Experienced professional with 14 years of experience. Holds a Diploma in Data Science. Key skills include: C++, NLP, R, Agile, Git, JavaScript, Docker, Kubernetes, Problem Solving, Communication, Tableau. Proven track record of delivering results in dynamic environments.",1
CAND-0029,Male,White,39,PhD,Other,Birmingham University,2.55,2,7,Leadership|TensorFlow|R|Team Collaboration|C++|SQL|Data Analysis,Software Engineer,1,"Experienced professional with 2 years of experience. Holds a PhD in Other. Key skills include: Leadership, TensorFlow, R, Team Collaboration, C++, SQL, Data Analysis. Proven track record of delivering results in dynamic environments.",1
CAND-0030,Male,White,35,Bachelor,Economics,Bristol University,3.09,13,3,Project Management|Docker|AWS,Product Manager,5,"Experienced professional with 13 years of experience. Holds a Bachelor in Economics. Key skills include: Project Management, Docker, AWS. Proven track record of delivering results in dynamic environments.",1
CAND-0031,Male,Hispanic,46,Master,Psychology,Sheffield University,3.51,13,11,Git|Kubernetes|C++|NLP|Leadership|React|Deep Learning|TensorFlow|Docker|Problem Solving|Python,Data Analyst,2,"Experienced professional with 13 years of experience. Holds a Master in Psychology. Key skills include: Git, Kubernetes, C++, NLP, Leadership, React, Deep Learning, TensorFlow, Docker, Problem Solving, Python. Proven track record of delivering results in dynamic environments.",1
CAND-0032,Female,Black,32,PhD,Business Administration,Other Institution,2.05,12,12,Statistics|Problem Solving|Python|SQL|Deep Learning|Docker|Data Analysis|Agile|Communication|Java|Kubernetes|Project Management,ML Engineer,1,"Experienced professional with 12 years of experience. Holds a PhD in Business Administration. Key skills include: Statistics, Problem Solving, Python, SQL, Deep Learning, Docker, Data Analysis, Agile, Communication, Java, Kubernetes, Project Management. Proven track record of delivering results in dynamic environments.",1
CAND-0033,Male,White,46,Bachelor,Economics,Sheffield University,3.67,15,3,Git|C++|Java,ML Engineer,1,"Experienced professional with 15 years of experience. Holds a Bachelor in Economics. Key skills include: Git, C++, Java. Proven track record of delivering results in dynamic environments.",1
CAND-0034,Female,Black,24,PhD,Engineering,Birmingham University,3.68,4,6,Data Analysis|React|Problem Solving|Machine Learning|Statistics|Project Management,Data Analyst,5,"Experienced professional with 4 years of experience. Holds a PhD in Engineering. Key skills include: Data Analysis, React, Problem Solving, Machine Learning, Statistics, Project Management. Proven track record of delivering results in dynamic environments.",1
CAND-0035,Male,White,29,PhD,Business Administration,Sheffield University,2.22,0,7,Statistics|Problem Solving|AWS|Team Collaboration|Project Management|SQL|Kubernetes,Business Analyst,5,"Experienced professional with 0 years of experience. Holds a PhD in Business Administration. Key skills include: Statistics, Problem Solving, AWS, Team Collaboration, Project Management, SQL, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0036,Male,Asian,41,Diploma,Data Science,University of London,2.69,13,8,SQL|JavaScript|Deep Learning|R|Python|Docker|React|Machine Learning,Data Analyst,2,"Experienced professional with 13 years of experience. Holds a Diploma in Data Science. Key skills include: SQL, JavaScript, Deep Learning, R, Python, Docker, React, Machine Learning. Proven track record of delivering results in dynamic environments.",1
CAND-0037,Female,Black,31,Bachelor,Mathematics,Other Institution,3.55,14,9,Git|Statistics|TensorFlow|R|Leadership|SQL|Team Collaboration|Agile|Deep Learning,Data Analyst,4,"Experienced professional with 14 years of experience. Holds a Bachelor in Mathematics. Key skills include: Git, Statistics, TensorFlow, R, Leadership, SQL, Team Collaboration, Agile, Deep Learning. Proven track record of delivering results in dynamic environments.",1
CAND-0038,Female,White,23,Master,Psychology,University of Leeds,2.98,11,7,R|TensorFlow|NLP|Git|C++|Python|JavaScript,Software Engineer,0,"Experienced professional with 11 years of experience. Holds a Master in Psychology. Key skills include: R, TensorFlow, NLP, Git, C++, Python, JavaScript. Proven track record of delivering results in dynamic environments.",1
CAND-0039,Male,White,37,Master,Other,Nottingham University,3.59,2,7,Leadership|AWS|Team Collaboration|Kubernetes|Excel|Statistics|Tableau,Data Analyst,4,"Experienced professional with 2 years of experience. Holds a Master in Other. Key skills include: Leadership, AWS, Team Collaboration, Kubernetes, Excel, Statistics, Tableau. Proven track record of delivering results in dynamic environments.",1
CAND-0040,Female,White,43,Bachelor,Other,Sheffield University,2.61,7,4,Git|Project Management|R|Machine Learning,Business Analyst,4,"Experienced professional with 7 years of experience. Holds a Bachelor in Other. Key skills include: Git, Project Management, R, Machine Learning. Proven track record of delivering results in dynamic environments.",1
CAND-0041,Non-binary,Asian,34,Bachelor,Other,Sheffield University,3.45,9,4,Project Management|Excel|Leadership|Tableau,Software Engineer,2,"Experienced professional with 9 years of experience. Holds a Bachelor in Other. Key skills include: Project Management, Excel, Leadership, Tableau. Proven track record of delivering results in dynamic environments.",1
CAND-0042,Male,White,39,Bachelor,Computer Science,Other Institution,2.58,4,10,Machine Learning|Python|Statistics|Excel|React|Deep Learning|Agile|R|Communication|Java,ML Engineer,3,"Experienced professional with 4 years of experience. Holds a Bachelor in Computer Science. Key skills include: Machine Learning, Python, Statistics, Excel, React, Deep Learning, Agile, R, Communication, Java. Proven track record of delivering results in dynamic environments.",1
CAND-0043,Male,White,53,Bachelor,Computer Science,University of Leeds,2.3,9,4,Leadership|Machine Learning|C++|Kubernetes,Data Analyst,4,"Experienced professional with 9 years of experience. Holds a Bachelor in Computer Science. Key skills include: Leadership, Machine Learning, C++, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0044,Female,Asian,55,Bachelor,Other,Sheffield University,3.72,13,7,Statistics|NLP|Java|Git|Machine Learning|Project Management|Problem Solving,ML Engineer,5,"Experienced professional with 13 years of experience. Holds a Bachelor in Other. Key skills include: Statistics, NLP, Java, Git, Machine Learning, Project Management, Problem Solving. Proven track record of delivering results in dynamic environments.",1
CAND-0045,Male,White,26,Bachelor,Economics,Nottingham University,3.38,15,7,Java|Leadership|Excel|Team Collaboration|Agile|SQL|Git,ML Engineer,5,"Experienced professional with 15 years of experience. Holds a Bachelor in Economics. Key skills include: Java, Leadership, Excel, Team Collaboration, Agile, SQL, Git. Proven track record of delivering results in dynamic environments.",1
CAND-0046,Female,Black,34,Bachelor,Engineering,University of Leeds,3.82,4,4,Java|Communication|Excel|NLP,Business Analyst,4,"Experienced professional with 4 years of experience. Holds a Bachelor in Engineering. Key skills include: Java, Communication, Excel, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0047,Female,White,51,Master,Economics,Sheffield University,3.0,15,10,SQL|NLP|Java|Docker|R|Git|TensorFlow|Python|Kubernetes|Leadership,Business Analyst,4,"Experienced professional with 15 years of experience. Holds a Master in Economics. Key skills include: SQL, NLP, Java, Docker, R, Git, TensorFlow, Python, Kubernetes, Leadership. Proven track record of delivering results in dynamic environments.",1
CAND-0048,Female,White,39,Master,Business Administration,Nottingham University,3.04,14,7,Communication|Statistics|Docker|Deep Learning|React|SQL|Problem Solving,ML Engineer,3,"Experienced professional with 14 years of experience. Holds a Master in Business Administration. Key skills include: Communication, Statistics, Docker, Deep Learning, React, SQL, Problem Solving. Proven track record of delivering results in dynamic environments.",1
CAND-0049,Male,Asian,32,Bachelor,Other,Sheffield University,3.33,12,11,Java|Agile|SQL|R|TensorFlow|Problem Solving|Machine Learning|AWS|JavaScript|Python|NLP,Product Manager,3,"Experienced professional with 12 years of experience. Holds a Bachelor in Other. Key skills include: Java, Agile, SQL, R, TensorFlow, Problem Solving, Machine Learning, AWS, JavaScript, Python, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0050,Male,White,45,Master,Other,Nottingham University,3.52,6,7,C++|Data Analysis|Excel|Agile|React|Machine Learning|Python,Business Analyst,4,"Experienced professional with 6 years of experience. Holds a Master in Other. Key skills include: C++, Data Analysis, Excel, Agile, React, Machine Learning, Python. Proven track record of delivering results in dynamic environments.",1
CAND-0051,Female,Asian,41,Master,Economics,Manchester University,2.45,3,10,Machine Learning|Deep Learning|Data Analysis|React|Excel|JavaScript|TensorFlow|Docker|Problem Solving|NLP,Software Engineer,3,"Experienced professional with 3 years of experience. Holds a Master in Economics. Key skills include: Machine Learning, Deep Learning, Data Analysis, React, Excel, JavaScript, TensorFlow, Docker, Problem Solving, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0052,Female,White,54,Master,Business Administration,Manchester University,2.55,13,8,JavaScript|TensorFlow|Python|Excel|Problem Solving|Statistics|NLP|React,Software Engineer,3,"Experienced professional with 13 years of experience. Holds a Master in Business Administration. Key skills include: JavaScript, TensorFlow, Python, Excel, Problem Solving, Statistics, NLP, React. Proven track record of delivering results in dynamic environments.",1
CAND-0053,Female,White,46,Master,Psychology,Birmingham University,3.96,7,12,AWS|Leadership|Docker|Java|R|React|Kubernetes|Statistics|Data Analysis|NLP|Python|SQL,Product Manager,4,"Experienced professional with 7 years of experience. Holds a Master in Psychology. Key skills include: AWS, Leadership, Docker, Java, R, React, Kubernetes, Statistics, Data Analysis, NLP, Python, SQL. Proven track record of delivering results in dynamic environments.",1
CAND-0054,Male,White,50,Bachelor,Other,University of London,3.44,13,5,SQL|React|TensorFlow|R|NLP,Business Analyst,3,"Experienced professional with 13 years of experience. Holds a Bachelor in Other. Key skills include: SQL, React, TensorFlow, R, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0055,Female,Black,46,None,Other,Other Institution,2.07,2,6,Deep Learning|Problem Solving|Excel|Leadership|SQL|Docker,Data Scientist,5,"Experienced professional with 2 years of experience. Holds a None in Other. Key skills include: Deep Learning, Problem Solving, Excel, Leadership, SQL, Docker. Proven track record of delivering results in dynamic environments.",0
CAND-0056,Female,White,32,Master,Computer Science,University of London,2.65,1,7,Tableau|Kubernetes|Docker|Data Analysis|Leadership|JavaScript|Team Collaboration,Product Manager,5,"Experienced professional with 1 years of experience. Holds a Master in Computer Science. Key skills include: Tableau, Kubernetes, Docker, Data Analysis, Leadership, JavaScript, Team Collaboration. Proven track record of delivering results in dynamic environments.",1
CAND-0057,Female,White,27,Master,Economics,Birmingham University,3.0,4,6,Agile|Deep Learning|TensorFlow|Kubernetes|Team Collaboration|Python,Data Analyst,2,"Experienced professional with 4 years of experience. Holds a Master in Economics. Key skills include: Agile, Deep Learning, TensorFlow, Kubernetes, Team Collaboration, Python. Proven track record of delivering results in dynamic environments.",1
CAND-0058,Female,White,50,Diploma,Mathematics,Cardiff University,3.38,14,7,Project Management|AWS|React|Machine Learning|Leadership|Git|Statistics,ML Engineer,4,"Experienced professional with 14 years of experience. Holds a Diploma in Mathematics. Key skills include: Project Management, AWS, React, Machine Learning, Leadership, Git, Statistics. Proven track record of delivering results in dynamic environments.",1
CAND-0059,Male,Asian,23,None,Economics,Sheffield University,2.02,1,12,Git|React|Excel|Leadership|NLP|Tableau|Problem Solving|Project Management|TensorFlow|Data Analysis|R|Java,Business Analyst,5,"Experienced professional with 1 years of experience. Holds a None in Economics. Key skills include: Git, React, Excel, Leadership, NLP, Tableau, Problem Solving, Project Management, TensorFlow, Data Analysis, R, Java. Proven track record of delivering results in dynamic environments.",0
CAND-0060,Male,Black,24,Master,Business Administration,Manchester University,3.82,10,9,Communication|Project Management|Data Analysis|C++|Tableau|JavaScript|NLP|TensorFlow|Kubernetes,ML Engineer,3,"Experienced professional with 10 years of experience. Holds a Master in Business Administration. Key skills include: Communication, Project Management, Data Analysis, C++, Tableau, JavaScript, NLP, TensorFlow, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0061,Non-binary,White,43,PhD,Other,Manchester University,2.28,7,9,C++|Tableau|SQL|AWS|Python|TensorFlow|Kubernetes|Machine Learning|Agile,ML Engineer,5,"Experienced professional with 7 years of experience. Holds a PhD in Other. Key skills include: C++, Tableau, SQL, AWS, Python, TensorFlow, Kubernetes, Machine Learning, Agile. Proven track record of delivering results in dynamic environments.",1
CAND-0062,Female,White,46,PhD,Psychology,Manchester University,3.35,15,3,NLP|C++|R,Product Manager,1,"Experienced professional with 15 years of experience. Holds a PhD in Psychology. Key skills include: NLP, C++, R. Proven track record of delivering results in dynamic environments.",1
CAND-0063,Female,Asian,51,Diploma,Mathematics,Cardiff University,2.23,1,3,Excel|React|Machine Learning,Data Scientist,1,"Experienced professional with 1 years of experience. Holds a Diploma in Mathematics. Key skills include: Excel, React, Machine Learning. Proven track record of delivering results in dynamic environments.",0
CAND-0064,Female,White,51,Bachelor,Economics,University of Leeds,3.77,3,10,NLP|Docker|TensorFlow|Java|Tableau|Project Management|Agile|Statistics|Leadership|Deep Learning,Data Scientist,5,"Experienced professional with 3 years of experience. Holds a Bachelor in Economics. Key skills include: NLP, Docker, TensorFlow, Java, Tableau, Project Management, Agile, Statistics, Leadership, Deep Learning. Proven track record of delivering results in dynamic environments.",1
CAND-0065,Male,Hispanic,44,Bachelor,Mathematics,Birmingham University,3.94,14,4,Problem Solving|Project Management|Deep Learning|NLP,Data Scientist,0,"Experienced professional with 14 years of experience. Holds a Bachelor in Mathematics. Key skills include: Problem Solving, Project Management, Deep Learning, NLP. Proven track record of delivering results in dynamic environments.",1
CAND-0066,Female,White,30,PhD,Engineering,Manchester University,3.66,6,12,Project Management|Leadership|R|Data Analysis|NLP|Python|TensorFlow|Problem Solving|C++|Statistics|AWS|SQL,Data Scientist,5,"Experienced professional with 6 years of experience. Holds a PhD in Engineering. Key skills include: Project Management, Leadership, R, Data Analysis, NLP, Python, TensorFlow, Problem Solving, C++, Statistics, AWS, SQL. Proven track record of delivering results in dynamic environments.",1
CAND-0067,Female,White,44,PhD,Engineering,Bristol University,2.03,8,3,Data Analysis|Git|Docker,Product Manager,0,"Experienced professional with 8 years of experience. Holds a PhD in Engineering. Key skills include: Data Analysis, Git, Docker. Proven track record of delivering results in dynamic environments.",1
CAND-0068,Female,White,45,Master,Data Science,Nottingham University,3.01,1,11,Excel|Agile|Deep Learning|Python|Java|React|AWS|Docker|Machine Learning|NLP|Tableau,Data Analyst,0,"Experienced professional with 1 years of experience. Holds a Master in Data Science. Key skills include: Excel, Agile, Deep Learning, Python, Java, React, AWS, Docker, Machine Learning, NLP, Tableau. Proven track record of delivering results in dynamic environments.",1
CAND-0069,Female,White,31,Bachelor,Mathematics,Other Institution,3.42,12,12,JavaScript|Excel|Agile|Kubernetes|NLP|Docker|Machine Learning|Statistics|Project Management|Deep Learning|Leadership|C++,Data Analyst,2,"Experienced professional with 12 years of experience. Holds a Bachelor in Mathematics. Key skills include: JavaScript, Excel, Agile, Kubernetes, NLP, Docker, Machine Learning, Statistics, Project Management, Deep Learning, Leadership, C++. Proven track record of delivering results in dynamic environments.",1
CAND-0070,Female,White,28,Bachelor,Psychology,Sheffield University,2.75,4,10,SQL|Kubernetes|Git|Team Collaboration|Docker|Machine Learning|Tableau|Data Analysis|Java|R,Business Analyst,0,"Experienced professional with 4 years of experience. Holds a Bachelor in Psychology. Key skills include: SQL, Kubernetes, Git, Team Collaboration, Docker, Machine Learning, Tableau, Data Analysis, Java, R. Proven track record of delivering results in dynamic environments.",1
CAND-0071,Male,Hispanic,49,Diploma,Computer Science,Sheffield University,3.2,11,4,Statistics|JavaScript|Project Management|Data Analysis,Business Analyst,3,"Experienced professional with 11 years of experience. Holds a Diploma in Computer Science. Key skills include: Statistics, JavaScript, Project Management, Data Analysis. Proven track record of delivering results in dynamic environments.",1
CAND-0072,Male,White,45,Bachelor,Mathematics,Birmingham University,3.61,0,12,Problem Solving|Team Collaboration|TensorFlow|Python|Communication|Git|Excel|R|Tableau|Kubernetes|SQL|Docker,Software Engineer,4,"Experienced professional with 0 years of experience. Holds a Bachelor in Mathematics. Key skills include: Problem Solving, Team Collaboration, TensorFlow, Python, Communication, Git, Excel, R, Tableau, Kubernetes, SQL, Docker. Proven track record of delivering results in dynamic environments.",1
CAND-0073,Female,White,23,Bachelor,Engineering,Cardiff University,2.84,10,5,Tableau|Excel|Git|R|Kubernetes,Product Manager,4,"Experienced professional with 10 years of experience. Holds a Bachelor in Engineering. Key skills include: Tableau, Excel, Git, R, Kubernetes. Proven track record of delivering results in dynamic environments.",1
CAND-0074,Male,White,32,PhD,Computer Science,Manchester University,2.54,13,10,NLP|Agile|Docker|TensorFlow|Project Management|JavaScript|Machine Learning|Tableau|Team Collaboration|Statistics,ML Engineer,5,"Experienced professional with 13 years of experience. Holds a PhD in Computer Science. Key skills include: NLP, Agile, Docker, TensorFlow, Project Management, JavaScript, Machine Learning, Tableau, Team Collaboration, Statistics. Proven track record of delivering results in dynamic environments.",1
CAND-0075,Female,White,41,Bachelor,Economics,University of London,2.02,9,6,Kubernetes|Data Analysis|TensorFlow|Excel|R|Machine Learning,Data Scientist,3,"Experienced professional with 9 years of experience. Holds a Bachelor in Economics. Key skills include: Kubernetes, Data Analysis, TensorFlow, Excel, R, Machine Learning. Proven track record of delivering results in dynamic environments.",0
CAND-0076,Female,White,46,Master,Engineering,Other Institution,3.12,11,4,AWS|Git|Java|Docker,Data Scientist,3,"Experienced professional with 11 years of experience. Holds a Master in Engineering. Key skills include: AWS, Git, Java, Docker. Proven track record of delivering results in dynamic environments.",1
CAND-0077,Female,Hispanic,49,Master,Economics,Sheffield University,2.23,0,8,Communication|NLP|Agile|Tableau|SQL|Docker|Machine Learning|Leadership,Data Analyst,4,"Experienced professional with 0 years of experience. Holds a Master in Economics. Key skills include: Communication, NLP, Agile, Tableau, SQL, Docker, Machine Learning, Leadership. Proven track record of delivering results in dynamic environments.",0
CAND-0078,Male,White,41,Master,Engineering,Bristol University,3.56,2,11,Deep Learning|Machine Learning|JavaScript|Team Collaboration|Project Management|Tableau|NLP|Data Analysis|Leadership|Git|SQL,ML Engineer,1,"Experienced professional with 2 years of experience. Holds a Master in Engineering. Key skills include: Deep Learning, Machine Learning, JavaScript, Team Collaboration, Project Management, Tableau, NLP, Data Analysis, Leadership, Git, SQL. Proven track record of delivering results in dynamic environments.",1
